Trial,Quick sort data,Merge Sort Data,,Quick sort mean,Merge sort mean,Quick sort variance, Merge sort variance
1,0.140292168,0.298772097, ,0.147022408,0.30197736,3.37E-05,7.53E-05
2,0.142399073,0.297029257,,,,,
3,0.147354126,0.299180746,,,,,
4,0.147587061,0.299779177,,,,,
5,0.139627695,0.299802065,,,,,
6,0.149383307,0.299069166,,,,,
7,0.145867825,0.300532103,,,,,
8,0.140244961,0.301968098,,,,,
9,0.148299932,0.30446291,,,,,
10,0.146469116,0.309896231,,,,,
11,0.143531084,0.301687002,,,,,
12,0.143660069,0.298638105,,,,,
13,0.145709991,0.300887108,,,,,
14,0.139971972,0.297843218,,,,,
15,0.140782118,0.301254988,,,,,
16,0.144695997,0.300045967,,,,,
17,0.138722658,0.299463272,,,,,
18,0.141819,0.299956083,,,,,
19,0.151760817,0.299623013,,,,,
20,0.146363974,0.300163984,,,,,
21,0.151376009,0.299751997,,,,,
22,0.138688087,0.299439192,,,,,
23,0.14493084,0.299440145,,,,,
24,0.145425081,0.299610138,,,,,
25,0.140079021,0.299985886,,,,,
26,0.146914005,0.299645901,,,,,
27,0.1495049,0.300346136,,,,,
28,0.142560005,0.300061226,,,,,
29,0.139353037,0.300303936,,,,,
30,0.145875216,0.30004096,,,,,
31,0.144583941,0.300227165,,,,,
32,0.137662888,0.299943924,,,,,
33,0.15693903,0.30092597,,,,,
34,0.145642281,0.300287962,,,,,
35,0.143691063,0.300124168,,,,,
36,0.143376827,0.300130129,,,,,
37,0.141014099,0.299068928,,,,,
38,0.146387815,0.299149036,,,,,
39,0.151381016,0.298942327,,,,,
40,0.145505667,0.299178123,,,,,
41,0.142767668,0.299868107,,,,,
42,0.148781061,0.299479008,,,,,
43,0.148439169,0.298759937,,,,,
44,0.144140959,0.301928997,,,,,
45,0.14419198,0.301545382,,,,,
46,0.145307302,0.300181866,,,,,
47,0.14656806,0.300549984,,,,,
48,0.14460206,0.299604177,,,,,
49,0.154845953,0.298475981,,,,,
50,0.146717072,0.300076962,,,,,
51,0.155394077,0.298983812,,,,,
52,0.140318155,0.299594879,,,,,
53,0.13983798,0.298821211,,,,,
54,0.14851284,0.29970789,,,,,
55,0.14308095,0.29935813,,,,,
56,0.144367933,0.299846888,,,,,
57,0.146312952,0.300179005,,,,,
58,0.15176177,0.299962759,,,,,
59,0.142113924,0.300474882,,,,,
60,0.145515919,0.301078796,,,,,
61,0.154368162,0.300957918,,,,,
62,0.144896984,0.297577143,,,,,
63,0.146903992,0.300634861,,,,,
64,0.147347212,0.30019021,,,,,
65,0.145395994,0.299773216,,,,,
66,0.149958134,0.300605297,,,,,
67,0.144368887,0.300918102,,,,,
68,0.147466898,0.300012112,,,,,
69,0.140345812,0.30002141,,,,,
70,0.142919064,0.29901576,,,,,
71,0.142946005,0.300430059,,,,,
72,0.145262957,0.300301075,,,,,
73,0.142453909,0.299990177,,,,,
74,0.14876318,0.300327063,,,,,
75,0.148162842,0.298249245,,,,,
76,0.148046732,0.302186966,,,,,
77,0.144670963,0.299578905,,,,,
